DLTR_Date,DLTR_Close
7/5/2017 16:00:00,68.21
7/6/2017 16:00:00,67.93
7/7/2017 16:00:00,67.98
7/10/2017 16:00:00,66.39
7/11/2017 16:00:00,66.87
7/12/2017 16:00:00,67.4
7/13/2017 16:00:00,68.57
7/14/2017 16:00:00,69.11
7/17/2017 16:00:00,69.87
7/18/2017 16:00:00,69.28
7/19/2017 16:00:00,70.35
7/20/2017 16:00:00,70.77
7/21/2017 16:00:00,70.89
7/24/2017 16:00:00,69.28
7/25/2017 16:00:00,70.59
7/26/2017 16:00:00,70.92
7/27/2017 16:00:00,72.24
7/28/2017 16:00:00,71.8
7/31/2017 16:00:00,72.08
8/1/2017 16:00:00,73.01
8/2/2017 16:00:00,72.97
8/3/2017 16:00:00,73.53
8/4/2017 16:00:00,74.11
8/7/2017 16:00:00,75.53
8/8/2017 16:00:00,75.75
8/9/2017 16:00:00,74.92
8/10/2017 16:00:00,73.08
8/11/2017 16:00:00,73.5
8/14/2017 16:00:00,74.62
8/15/2017 16:00:00,73.44
8/16/2017 16:00:00,74.44
8/17/2017 16:00:00,74.34
8/18/2017 16:00:00,74.25
8/21/2017 16:00:00,74.25
8/22/2017 16:00:00,74.95
8/23/2017 16:00:00,74.32
8/24/2017 16:00:00,78.5
8/25/2017 16:00:00,80.39
8/28/2017 16:00:00,80.38
8/29/2017 16:00:00,79.7
8/30/2017 16:00:00,79.72
8/31/2017 16:00:00,79.64
9/1/2017 16:00:00,81.06
9/5/2017 16:00:00,82.49
9/6/2017 16:00:00,82.73
9/7/2017 16:00:00,83.23
9/8/2017 16:00:00,82.83
9/11/2017 16:00:00,83.4
9/12/2017 16:00:00,83.98
9/13/2017 16:00:00,84.41
9/14/2017 16:00:00,83.46
9/15/2017 16:00:00,83.48
9/18/2017 16:00:00,83.19
9/19/2017 16:00:00,83.43
9/20/2017 16:00:00,83.42
9/21/2017 16:00:00,83.14
9/22/2017 16:00:00,84.62
9/25/2017 16:00:00,84.99
9/26/2017 16:00:00,84.89
9/27/2017 16:00:00,85.67
9/28/2017 16:00:00,85.68
9/29/2017 16:00:00,86.82
10/2/2017 16:00:00,86.47
10/3/2017 16:00:00,86.82
10/4/2017 16:00:00,89.05
10/5/2017 16:00:00,89.15
10/6/2017 16:00:00,89.42
10/9/2017 16:00:00,88.37
10/10/2017 16:00:00,89.3
10/11/2017 16:00:00,91.23
10/12/2017 16:00:00,91.37
10/13/2017 16:00:00,91.5
10/16/2017 16:00:00,91.95
10/17/2017 16:00:00,91.53
10/18/2017 16:00:00,91.47
10/19/2017 16:00:00,91.41
10/20/2017 16:00:00,92.37
10/23/2017 16:00:00,91.72
10/24/2017 16:00:00,91.78
10/25/2017 16:00:00,91.61
10/26/2017 16:00:00,93.23
10/27/2017 16:00:00,93.21
10/30/2017 16:00:00,91.44
10/31/2017 16:00:00,91.25
11/1/2017 16:00:00,91.12
11/2/2017 16:00:00,92.55
11/3/2017 16:00:00,93.75
11/6/2017 16:00:00,93.39
11/7/2017 16:00:00,93.62
11/8/2017 16:00:00,93.9
11/9/2017 16:00:00,94.38
11/10/2017 16:00:00,95.06
11/13/2017 16:00:00,93.69
11/14/2017 16:00:00,93.45
11/15/2017 16:00:00,93.09
11/16/2017 16:00:00,94.63
11/17/2017 16:00:00,94.61
11/20/2017 16:00:00,97.11
11/21/2017 16:00:00,99.46
11/22/2017 16:00:00,99.77
11/24/2017 13:00:00,98.38
11/27/2017 16:00:00,98.2
11/28/2017 16:00:00,100.94
11/29/2017 16:00:00,104.14
11/30/2017 16:00:00,102.76
12/1/2017 16:00:00,103.01
12/4/2017 16:00:00,106.37
12/5/2017 16:00:00,105.89
12/6/2017 16:00:00,105.52
12/7/2017 16:00:00,107.31
12/8/2017 16:00:00,108.67
12/11/2017 16:00:00,107.07
12/12/2017 16:00:00,106.22
12/13/2017 16:00:00,105.59
12/14/2017 16:00:00,104.65
12/15/2017 16:00:00,106.29
12/18/2017 16:00:00,109.1
12/19/2017 16:00:00,109.17
12/20/2017 16:00:00,108.92
12/21/2017 16:00:00,108.47
12/22/2017 16:00:00,109.46
12/26/2017 16:00:00,108.5
12/27/2017 16:00:00,107.49
12/28/2017 16:00:00,108.07
12/29/2017 16:00:00,107.31
1/2/2018 16:00:00,108.69
1/3/2018 16:00:00,108.02
1/4/2018 16:00:00,108.86
1/5/2018 16:00:00,111.14
1/8/2018 16:00:00,109.1
1/9/2018 16:00:00,109.69
1/10/2018 16:00:00,109.63
1/11/2018 16:00:00,111.35
1/12/2018 16:00:00,114.84
1/16/2018 16:00:00,112.88
1/17/2018 16:00:00,112.8
1/18/2018 16:00:00,112.9
1/19/2018 16:00:00,114.73
1/22/2018 16:00:00,115.02
1/23/2018 16:00:00,114.7
1/24/2018 16:00:00,114.34
1/25/2018 16:00:00,115.07
1/26/2018 16:00:00,115.43
1/29/2018 16:00:00,116.35
1/30/2018 16:00:00,114.6
1/31/2018 16:00:00,115
2/1/2018 16:00:00,113.87
2/2/2018 16:00:00,108.83
2/5/2018 16:00:00,105.24
2/6/2018 16:00:00,107.85
2/7/2018 16:00:00,106.08
2/8/2018 16:00:00,101.58
2/9/2018 16:00:00,107.62
2/12/2018 16:00:00,104.74
2/13/2018 16:00:00,104.84
2/14/2018 16:00:00,105.87
2/15/2018 16:00:00,108.57
2/16/2018 16:00:00,107.96
2/20/2018 16:00:00,106.81
